Well;Surface;MD
200R;Top_Georg;2662.4
200R;U1-3_bot;2702.7
210R;Top_Georg;2734.5
210R;U1-3_bot;2779.9
218R;Top_Georg;2735.7
218R;U1-3_bot;2786.4
220R;Top_Georg;2735.1
220R;U1-3_bot;2787.5
221R;Top_Georg;2742.3
221R;U1-3_bot;2794.7
222R;Top_Georg;2725.2
222R;U1-3_bot;2779.1
223R;Top_Georg;2736.8
223R;U1-3_bot;2790.7
226R;Top_Georg;2735.7
233R;Top_Georg;2725.3
548;Top_Georg;2973.6
597;Top_Georg;2850.4
605;Top_Georg;2833.1
610;Top_Georg;2821.5
611;Top_Georg;2981.5
613;Top_Georg;2972.8
614;Top_Georg;2933.8
615;Top_Georg;2998.5
626;Top_Georg;3026.2
629;Top_Georg;2798.5
629;U1-3_bot;2849.2
630;Top_Georg;2739.6
631;Top_Georg;2773
644;Top_Georg;3337.3
644;U1-3_bot;3389.6
645;Top_Georg;3032.6
646;Top_Georg;2878.8
647;Top_Georg;2811
648;Top_Georg;2825.6
660;Top_Georg;3093.3
660;U1-3_bot;3146.6
661;Top_Georg;3097.9
661;U1-3_bot;3149.1
662;Top_Georg;3198.1
662;U1-3_bot;3248.4
663;Top_Georg;3050.5
664;Top_Georg;2975.7
676;Top_Georg;3015.2
676;U1-3_bot;3068.8
677;Top_Georg;2870.2
677;U1-3_bot;2920.2
678;Top_Georg;2977.3
678;U1-3_bot;3027.6
679;Top_Georg;3191.7
679;U1-3_bot;3243.4
680;Top_Georg;3090
690;Top_Georg;2847.4
691;Top_Georg;2890.6
691;U1-3_bot;2943.4
692;Top_Georg;2767.4
692;U1-3_bot;2818.5
693;Top_Georg;2767
693;U1-3_bot;2818.2
694;Top_Georg;2867.7
694;U1-3_bot;2917.2
695;Top_Georg;3080.1
695;U1-3_bot;3130.4
696;Top_Georg;2890.4
704;Top_Georg;2728.6
705;Top_Georg;2865.9
705;U1-3_bot;2919.1
706;Top_Georg;2744.2
706;U1-3_bot;2795.2
707;Top_Georg;2741.5
707;U1-3_bot;2793.3
708;Top_Georg;2836.5
708;U1-3_bot;2888.3
709;Top_Georg;3050.7
709;U1-3_bot;3103.5
710;Top_Georg;2778.7
715;Top_Georg;3111.6
715;U1-3_bot;3165.6
716;Top_Georg;3006
716;U1-3_bot;3058.7
717;Top_Georg;2805
717;U1-3_bot;2857.7
718;Top_Georg;2799.9
718;U1-3_bot;2850.7
719;Top_Georg;2899.6
719;U1-3_bot;2951.1
720;Top_Georg;2925.9
721;Top_Georg;2767.6
725;Top_Georg;2853.9
726;Top_Georg;2824.3
726;U1-3_bot;2877.1
727;Top_Georg;2771.3
727;U1-3_bot;2822
728;Top_Georg;2833.7
728;U1-3_bot;2884.2
729;Top_Georg;2960.7
729;U1-3_bot;3008.9
734;Top_Georg;2746.7
734;U1-3_bot;2799.6
735;Top_Georg;2711.5
735;U1-3_bot;2761.5
736;Top_Georg;2833.4
738;Top_Georg;2747.4
740;Top_Georg;2801.7
740;U1-3_bot;2851
741;Top_Georg;2795.1
741;U1-3_bot;2842.3
743;Top_Georg;3023.6
743;U1-3_bot;3066.2
745;Top_Georg;3091.5
745;U1-3_bot;3140.3
746;Top_Georg;2947.1
746;U1-3_bot;2993.8
746bs;Top_Georg;2947.3
746bs;U1-3_bot;2994.4
752;Top_Georg;2889.4
752;U1-3_bot;2942.7
753;Top_Georg;3480.3
754;Top_Georg;2743.7
754;U1-3_bot;2791.6
756;Top_Georg;2788
756;U1-3_bot;2835.1
757;Top_Georg;3250
757;U1-3_bot;3295.3
758;Top_Georg;2921.7
758;U1-3_bot;2966.8
759;Top_Georg;2836.2
761;Top_Georg;3021.9
761;U1-3_bot;3068.9
762;Top_Georg;2963
762;U1-3_bot;3009.9
763;Top_Georg;2966.2
763;U1-3_bot;3013.3
764;Top_Georg;3097.8
765;Top_Georg;2906.9
767;Top_Georg;3014
767;U1-3_bot;3061.4
768;Top_Georg;2856.4
768;U1-3_bot;2905.7
769;Top_Georg;2787.3
769;U1-3_bot;2835.4
770;Top_Georg;2818.5
770;U1-3_bot;2866.1
771;Top_Georg;3085.4
773;Top_Georg;2724.1
774;Top_Georg;2774.8
774;U1-3_bot;2821.6
775;Top_Georg;2728.6
775;U1-3_bot;2774.4
776;Top_Georg;2753.5
776;U1-3_bot;2801.3
777;Top_Georg;2898
777;U1-3_bot;2947.5
780;Top_Georg;2803.2
780;U1-3_bot;2849.2
781;Top_Georg;2781
781;U1-3_bot;2829.1
782;Top_Georg;2828.1
782;U1-3_bot;2877.4
783;Top_Georg;2970.5
783;U1-3_bot;3021.3
785;Top_Georg;3031.8
785;U1-3_bot;3079.2
786;Top_Georg;2961.4
786;U1-3_bot;3011.3
787;Top_Georg;2980.1
787;U1-3_bot;3032.7
788;Top_Georg;3200.5
788;U1-3_bot;3244.3
789;Top_Georg;3257.2
789;U1-3_bot;3307.4
790;Top_Georg;3193.4
790;U1-3_bot;3246.2
791;Top_Georg;3212.1
791;U1-3_bot;3255.4
792;Top_Georg;2859.5
793;Top_Georg;3259.4
793;U1-3_bot;3307
794;Top_Georg;3544.4
794;U1-3_bot;3593.3
795;Top_Georg;2943.5
795;U1-3_bot;2992
881;Top_Georg;2923.7
883;Top_Georg;2955.8
883;U1-3_bot;2997.2
886;Top_Georg;3164
886;U1-3_bot;3209.7
887;Top_Georg;3164.1
887;U1-3_bot;3206.6
888;Top_Georg;2716.8
889;Top_Georg;2738.3
891;Top_Georg;3473.3
891;U1-3_bot;3517.7
892;Top_Georg;3160.9
892;U1-3_bot;3199.4
893;Top_Georg;2776.4
894;Top_Georg;2834.8
274;Top_Georg;2940.1
274;U1-3_bot;2992.9
276;Top_Georg;2869.7
276;U1-3_bot;2924.5
277;Top_Georg;2826.6
277;U1-3_bot;2881.8
278;Top_Georg;2803.5
278;U1-3_bot;2854.7
279;Top_Georg;2765.5
279;U1-3_bot;2815.3
280;Top_Georg;2831.5
280;U1-3_bot;2883.4
281;Top_Georg;2840.9
281;U1-3_bot;2890.7
282;Top_Georg;2808.1
282;U1-3_bot;2855.8
288;Top_Georg;3407.8
288;U1-3_bot;3469
291;Top_Georg;2896.4
291;U1-3_bot;2949.6
292;Top_Georg;2867.9
292;U1-3_bot;2922.4
293;Top_Georg;2898.9
293;U1-3_bot;2954
294;Top_Georg;3024.9
294;U1-3_bot;3079.2
295;Top_Georg;3265.7
295;U1-3_bot;3322.1
297;Top_Georg;3196.6
297;U1-3_bot;3255
299;Top_Georg;2758.9
299;U1-3_bot;2817.5
300;Top_Georg;3542.6
300;U1-3_bot;3593.5
301;Top_Georg;3510.5
301;U1-3_bot;3562.8
309;Top_Georg;3296.7
309;U1-3_bot;3346.6
310;Top_Georg;3522.8
310;U1-3_bot;3574
310bs;Top_Georg;3388.9
311;Top_Georg;3238.5
311;U1-3_bot;3287.6
314;Top_Georg;2848.3
314;U1-3_bot;2901.3
315;Top_Georg;3213.5
315;U1-3_bot;3269.3
319;Top_Georg;2930.8
319;U1-3_bot;2985.9
320;Top_Georg;3043.5
320;U1-3_bot;3096.3
321;Top_Georg;3073
321;U1-3_bot;3129
325;Top_Georg;3353.2
325;U1-3_bot;3410.1
326;Top_Georg;3302.7
326;U1-3_bot;3361.8
327;Top_Georg;2996.9
327;U1-3_bot;3051.8
328;Top_Georg;3205.9
328;U1-3_bot;3256.8
329;Top_Georg;3080.7
329;U1-3_bot;3137.9
330;Top_Georg;2959.5
330;U1-3_bot;3010.9
332;Top_Georg;2854.2
332;U1-3_bot;2907.9
334;Top_Georg;3051.6
334;U1-3_bot;3109
336;Top_Georg;3351
336;U1-3_bot;3416.9
337;Top_Georg;2897.6
337;U1-3_bot;2957.2
338;Top_Georg;2815.1
338;U1-3_bot;2874.3
339;Top_Georg;3213.4
339;U1-3_bot;3271.4
340;Top_Georg;3480.6
340;U1-3_bot;3537.3
340bs;Top_Georg;3115.7
340bs;U1-3_bot;3175.5
341;Top_Georg;2780.1
341;U1-3_bot;2839.3
342;Top_Georg;2832.2
342;U1-3_bot;2889.5
343;Top_Georg;2839
343;U1-3_bot;2899.5
345;Top_Georg;2949.3
345;U1-3_bot;3002.2
346;Top_Georg;2856.4
346;U1-3_bot;2910.3
347;Top_Georg;2976.2
347;U1-3_bot;3032.7
348;Top_Georg;2839.9
348;U1-3_bot;2893.4
351;Top_Georg;3060.8
351;U1-3_bot;3121.3
352;Top_Georg;3415.5
352;U1-3_bot;3468.3
353;Top_Georg;3121.6
353;U1-3_bot;3180.8
354;Top_Georg;2802
354;U1-3_bot;2859
356;Top_Georg;3118.9
356;U1-3_bot;3175.1
358;Top_Georg;2756.8
358;U1-3_bot;2809.3
360;Top_Georg;2984.4
360;U1-3_bot;3037.6
361;Top_Georg;3044.9
361;U1-3_bot;3100.9
362;Top_Georg;3297.4
362;U1-3_bot;3355.4
372;Top_Georg;2778.1
372;U1-3_bot;2831.4
373;Top_Georg;2751.1
373;U1-3_bot;2802.4
375;Top_Georg;2724.6
375;U1-3_bot;2777
377;Top_Georg;3075.1
377;U1-3_bot;3129.3
377_ST2;Top_Georg;3179.8
377_ST2;U1-3_bot;3244.7
382;Top_Georg;2787.4
382;U1-3_bot;2840.9
383;Top_Georg;3307.4
383;U1-3_bot;3366.7
384;Top_Georg;2959.8
384;U1-3_bot;3015.6
385;Top_Georg;2782.2
385;U1-3_bot;2835.8
385PL;Top_Georg;2905.7
385PL;U1-3_bot;3027.1
386;Top_Georg;2830.2
386;U1-3_bot;2885.4
387;Top_Georg;2835
387;U1-3_bot;2889.3
388;Top_Georg;3155.7
388;U1-3_bot;3212.3
389;Top_Georg;3265.4
389;U1-3_bot;3332.6
397;Top_Georg;3395.2
397;U1-3_bot;3449.9
398;Top_Georg;3204
398;U1-3_bot;3260.2
400;Top_Georg;2953.9
400;U1-3_bot;3012.3
401;Top_Georg;2766.4
401;U1-3_bot;2822.9
402;Top_Georg;3433.4
402;U1-3_bot;3489.7
403;Top_Georg;3221.8
403;U1-3_bot;3280.4
407;Top_Georg;3133.7
407;U1-3_bot;3193
408;Top_Georg;3209.4
408;U1-3_bot;3267
409;Top_Georg;2859.4
409;U1-3_bot;2920.8
410;Top_Georg;2925.3
410;U1-3_bot;2978.9
412;Top_Georg;2810
412;U1-3_bot;2865.5
414;Top_Georg;3193.5
414;U1-3_bot;3249.8
422;Top_Georg;3160.7
422;U1-3_bot;3219.5
423;Top_Georg;3375.5
423;U1-3_bot;3435.1
425;Top_Georg;2857.4
425;U1-3_bot;2916.2
432;Top_Georg;2862.9
432;U1-3_bot;2922.6
433;Top_Georg;2904.1
433;U1-3_bot;2960.3
433PL;Top_Georg;2939.4
433PL;U1-3_bot;3082.4
434;Top_Georg;3060.1
434;U1-3_bot;3113
435;Top_Georg;3071
435;U1-3_bot;3128.8
436;Top_Georg;3298.2
436;U1-3_bot;3357.1
442;Top_Georg;3444.9
442;U1-3_bot;3502.9
443;Top_Georg;2900.1
443;U1-3_bot;2958.5
446_1;Top_Georg;3048.7
446_1;U1-3_bot;3104.1
446_ST2;Top_Georg;3055.3
446_ST2;U1-3_bot;3109.5
452;Top_Georg;3351
452;U1-3_bot;3412.1
453;Top_Georg;3039.6
453;U1-3_bot;3096.7
455;Top_Georg;3008.6
455;U1-3_bot;3064.4
461;Top_Georg;3071.2
461;U1-3_bot;3130.4
463;Top_Georg;3026.6
463;U1-3_bot;3086.4
464;Top_Georg;2798.4
464;U1-3_bot;2846.8
470;Top_Georg;3100.5
470;U1-3_bot;3160
471;Top_Georg;3002.2
471;U1-3_bot;3051.3
472;Top_Georg;2729
472;U1-3_bot;2779.7
474;Top_Georg;2917
474;U1-3_bot;2964.2
476;Top_Georg;3095.8
476;U1-3_bot;3146.7
480;Top_Georg;2797.4
480;U1-3_bot;2851.7
483;Top_Georg;2882.8
483;U1-3_bot;2933.1
489;Top_Georg;3003.9
489;U1-3_bot;3060.5
490;Top_Georg;2782.9
490;U1-3_bot;2832.5
491;Top_Georg;2978.3
491;U1-3_bot;3026.1
496;Top_Georg;3071.7
496;U1-3_bot;3124.6
496_ST2;Top_Georg;3229.3
496_ST2;U1-3_bot;3289.1
498;Top_Georg;2881.5
498;U1-3_bot;2931.7
500;Top_Georg;3198
500;U1-3_bot;3244.3
501;Top_Georg;2889.5
501;U1-3_bot;2935
506;Top_Georg;3210
506;U1-3_bot;3265.1
507;Top_Georg;2973.9
507;U1-3_bot;3028.1
508;Top_Georg;2824.1
508;U1-3_bot;2871.6
510;Top_Georg;2966.5
510;U1-3_bot;3013.4
512;Top_Georg;3113
512;U1-3_bot;3166.6
513;Top_Georg;3126
513;U1-3_bot;3178.9
514;Top_Georg;2916.1
514;U1-3_bot;2965.9
515;Top_Georg;2760.7
515;U1-3_bot;2807.3
517;Top_Georg;3380.7
517;U1-3_bot;3431.9
518;Top_Georg;3203.8
518;U1-3_bot;3252.3
520;Top_Georg;2915.6
520;U1-3_bot;2965.3
522;Top_Georg;3012.4
522;U1-3_bot;3064.4
531;Top_Georg;3331.3
531;U1-3_bot;3386.2
532;Top_Georg;2918.8
532;U1-3_bot;2974.1
534;Top_Georg;3189.8
534;U1-3_bot;3242
540;Top_Georg;3145.2
540;U1-3_bot;3199.7
541;Top_Georg;3093
541;U1-3_bot;3151.5
542;Top_Georg;2913.5
542;U1-3_bot;2969.7
543;Top_Georg;2901.5
543;U1-3_bot;2950.9
544;Top_Georg;3476.3
544;U1-3_bot;3531.5
544_ST2;Top_Georg;3537.3
544_ST2;U1-3_bot;3595
545;Top_Georg;3107.8
545;U1-3_bot;3167.6
547;Top_Georg;2754.3
547;U1-3_bot;2808.2
549;Top_Georg;3460.8
549;U1-3_bot;3517.6
550;Top_Georg;2904.5
550;U1-3_bot;2961.7
551;Top_Georg;3203.8
551;U1-3_bot;3262.4
552;Top_Georg;2862.4
552;U1-3_bot;2920.8
553;Top_Georg;2969.2
553;U1-3_bot;3026.6
554;Top_Georg;3135.5
554;U1-3_bot;3188.4
555;Top_Georg;2840.6
555;U1-3_bot;2893.9
556;Top_Georg;3305.3
556;U1-3_bot;3363
557;Top_Georg;3306.6
557;U1-3_bot;3360.5
558;Top_Georg;3001.2
558;U1-3_bot;3066
559;Top_Georg;2912.8
559;U1-3_bot;2967.7
581;Top_Georg;3501.6
581;U1-3_bot;3556.7
